,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-03-26,2935915,15,0,0.028493461924737253,1.0,0.6
2017-03-27,3048778,21,0,0.027433107585338675,-1.0,0.6
2017-03-28,2970323,22,0,0.026548577254680104,-1.0,0.2
2017-03-29,2984531,22,0,0.02689602018284508,0.0,0.0
2017-03-30,3165341,21,0,0.028699908188321476,1.0,0.0
2017-03-31,3124481,20,0,0.02690000880917151,1.0,0.0
2017-04-01,3096030,16,0,0.02852132722378523,1.0,0.4
2017-04-02,2832982,15,0,0.02862978021961475,1.0,0.8
2017-04-03,2494800,20,0,0.02358122935277777,-1.0,0.6
2017-04-04,2729717,19,0,0.025865651796673723,1.0,0.6
2017-04-05,2718641,20,0,0.02591006219903214,-1.0,0.2
2017-04-06,2718081,19,0,0.02613539598988242,1.0,0.2
2017-04-07,2863059,23,0,0.02476029899758313,-1.0,-0.2
2017-04-08,2824836,19,0,0.02596937372088238,1.0,0.2
2017-04-09,2708220,18,0,0.027551004027389497,1.0,0.2
2017-04-10,2536564,23,0,0.02431825844514944,-1.0,0.2
2017-04-11,2790820,23,0,0.026856286265482032,0.0,0.0
2017-04-12,2906719,22,0,0.02798984060262146,1.0,0.4
2017-04-13,2969111,21,0,0.028076475417288627,1.0,0.4
2017-04-14,2608928,33,0,0.01881923409677093,-1.0,0.0
2017-04-15,2512706,33,0,0.02079270296449763,0.0,0.2
2017-04-16,2092419,33,0,0.01996853200175367,0.0,0.2
2017-04-17,2361705,35,0,0.020441499623736814,-1.0,-0.2
2017-04-18,2439331,38,0,0.020434704380443605,-1.0,-0.6
2017-04-19,2477187,37,0,0.021164491613291234,1.0,-0.2
2017-04-20,2551515,36,0,0.021939384060938146,1.0,0.0
2017-04-21,2660429,36,0,0.02211098386140171,0.0,0.0
2017-04-22,2525750,29,0,0.022671842558036236,1.0,0.4
2017-04-23,2275038,30,0,0.022641122546218518,-1.0,0.4
2017-04-24,2178689,37,0,0.01994482413729366,-1.0,0.0
2017-04-25,2368680,36,0,0.021385367871790066,1.0,0.0
2017-04-26,2405573,34,0,0.021699336158476207,1.0,0.2
2017-04-27,2275708,34,0,0.0205690776833405,0.0,0.0
2017-04-28,4159663,6,0,0.034817742891888326,1.0,0.4
2017-04-29,5009768,2,2,0.04527016265798584,1.0,0.8
2017-04-30,4813173,1,2,0.04828366178435373,1.0,0.8
2017-05-01,5423260,1,2,0.05077578933935561,0.0,0.6
2017-05-02,5707657,1,2,0.05133354080237347,0.0,0.6
2017-05-03,5687163,1,2,0.0509826395775377,0.0,0.4
2017-05-04,5667612,1,2,0.05081787865233452,0.0,0.2
2017-05-05,5659953,1,2,0.04675002099432025,0.0,0.0
2017-05-06,5465702,1,2,0.04907175393545994,0.0,0.0
2017-05-07,4901293,1,2,0.04895480302508014,0.0,0.0
2017-05-08,5281230,1,2,0.04844219581506274,0.0,0.0
2017-05-09,5679136,1,2,0.05069494010825034,0.0,0.0
2017-05-10,5711398,1,2,0.05105273258206575,0.0,0.0
2017-05-11,5717616,1,2,0.051357545278606,0.0,0.0
2017-05-12,6558429,1,0,0.053448977140451784,0.0,0.0
2017-05-13,6233576,1,0,0.055169310678333076,0.0,0.0
2017-05-14,5557345,1,0,0.05542135882761015,0.0,0.0
2017-05-15,5900108,1,2,0.0542236315697034,0.0,0.0
2017-05-16,6327376,1,0,0.05710971641832321,0.0,0.0
2017-05-17,6275155,1,0,0.05730452928469012,0.0,0.0
2017-05-18,6249584,1,2,0.05503439795172465,0.0,0.0
2017-05-19,6452775,1,0,0.055698965948419873,0.0,0.0
2017-05-20,6234679,1,0,0.05735022768844689,0.0,0.0
2017-05-21,5407260,1,0,0.055004825075672,0.0,0.0
2017-05-22,5676274,1,0,0.053346832425331246,0.0,0.0
2017-05-23,5723310,1,0,0.053289857818944984,0.0,0.0
2017-05-24,5846408,2,0,0.053451124099902596,-1.0,-0.2
2017-05-25,6161601,2,0,0.05494403005870261,0.0,-0.2
2017-05-26,7807159,2,0,0.06389601917493005,0.0,-0.2
2017-05-27,6843437,2,0,0.062354768248377254,0.0,-0.2
2017-05-28,6052753,2,0,0.06126365570788928,0.0,-0.2
2017-05-29,5749395,2,0,0.05894235583494461,0.0,0.0
2017-06-01,6540094,2,0,0.060517137975814476,0.0,0.0
2017-06-03,6672591,2,0,0.06418520971886164,0.0,0.0
2017-06-04,6068903,2,0,0.06596121779244524,0.0,0.0
