,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-07-11,1200042,14,0,0.012381127027341173,-1.0,0.4
2017-07-12,1028350,13,0,0.01057387032177058,1.0,0.4
2017-07-13,977103,15,0,0.009876626445473097,-1.0,0.0
2017-07-14,771304,21,0,0.00737991040167382,-1.0,-0.2
2017-07-15,698595,24,0,0.007066082341507276,-1.0,-0.6
2017-07-16,623786,27,0,0.007021793059489565,-1.0,-0.6
2017-07-17,714798,24,0,0.007453577730449304,1.0,-0.6
2017-07-18,802397,16,0,0.008225271595659963,1.0,-0.2
2017-07-19,884034,14,0,0.009153996660887134,1.0,0.2
2017-07-20,828131,14,0,0.00846709621044301,0.0,0.4
2017-07-21,968760,9,0,0.008469122379369143,1.0,0.8
2017-07-22,1064238,7,0,0.010604439119584776,1.0,0.8
2017-07-23,982124,7,0,0.011109188803012178,0.0,0.6
2017-07-24,1037051,7,0,0.010846978953230776,0.0,0.4
2017-07-25,1039238,8,0,0.010554268762263735,-1.0,0.2
2017-07-26,1093250,7,0,0.011203307927691263,1.0,0.2
2017-07-27,1192246,5,0,0.012268478827312862,1.0,0.2
2017-07-28,1222373,5,0,0.012133532474304464,0.0,0.2
2017-07-29,1190744,5,0,0.012523965779735784,0.0,0.2
2017-07-30,1093814,5,0,0.012725367172402599,0.0,0.4
2017-07-31,1166094,5,0,0.012529143355357956,0.0,0.2
2017-08-01,1181395,5,0,0.012529348085842327,0.0,0.0
2017-08-02,1214134,5,0,0.012975357300725906,0.0,0.0
2017-08-03,1294955,3,0,0.013797484039911595,1.0,0.2
2017-08-04,1376089,3,0,0.014044653516618088,0.0,0.2
2017-08-05,1363682,1,0,0.014630896197834043,1.0,0.4
2017-08-06,1267512,1,0,0.0150668118519044,0.0,0.4
2017-08-07,1328273,1,0,0.01483929652506728,0.0,0.4
2017-08-08,1349020,1,0,0.01462856604506629,0.0,0.2
2017-08-09,1376590,1,0,0.014712504606107608,0.0,0.2
2017-08-10,1351756,1,0,0.014341249066483519,0.0,0.0
2017-08-11,1381046,1,0,0.014073817721495251,0.0,0.0
2017-08-12,1363426,1,0,0.014811023997551024,0.0,0.0
2017-08-13,1274696,1,0,0.01507583879145774,0.0,0.0
2017-08-14,1325579,1,0,0.014689683173222189,0.0,0.0
2017-08-15,1352064,1,0,0.014650264622506827,0.0,0.0
2017-08-16,1370819,1,0,0.014819998915651235,0.0,0.0
2017-08-17,1364387,1,0,0.014651024812655376,0.0,0.0
2017-08-18,1424612,1,0,0.014534042729297205,0.0,0.0
2017-08-19,1398530,1,0,0.01484797223517418,0.0,0.0
2017-08-20,1293065,1,0,0.015040461576820884,0.0,0.0
2017-08-21,1316294,1,0,0.014678890202147963,0.0,0.0
2017-08-22,1389801,1,0,0.0148232482504596,0.0,0.0
2017-08-23,1378976,1,0,0.014645768246682617,0.0,0.0
2017-08-24,1412930,1,0,0.014741185531518002,0.0,0.0
2017-08-25,1490475,3,0,0.01227475518493985,-1.0,-0.2
2017-08-26,1467909,3,0,0.013255305193652103,0.0,-0.2
2017-08-27,1252709,3,0,0.013263387036236092,0.0,-0.2
2017-08-28,1346046,5,0,0.012936944048783337,-1.0,-0.4
2017-08-29,1412242,5,0,0.013223769889350806,0.0,-0.4
2017-08-30,1455075,4,0,0.01356237446537289,1.0,0.0
2017-08-31,1466466,4,0,0.01373792769764774,0.0,0.0
2017-09-01,1542225,4,0,0.013925361632763448,0.0,0.0
2017-09-02,1463885,4,0,0.014465486925393924,0.0,0.2
2017-09-03,1341006,5,0,0.014392399095727787,-1.0,0.0
2017-09-04,1367268,5,0,0.013954380853982169,0.0,-0.2
2017-09-05,1384482,5,0,0.013757271749187953,0.0,-0.2
2017-09-06,1406217,5,0,0.013952296640615914,0.0,-0.2
2017-09-07,1432005,4,0,0.014079029544533874,1.0,0.0
2017-09-08,1497299,3,0,0.013818985073917175,1.0,0.4
2017-09-09,1441268,2,0,0.014378859197703897,1.0,0.6
2017-09-10,1293179,4,0,0.014366350235221145,-1.0,0.4
2017-09-11,1308173,3,0,0.013549795350053842,1.0,0.6
2017-09-12,1374054,3,0,0.013704566198956051,0.0,0.4
2017-09-13,1404734,3,0,0.013700189661158827,0.0,0.2
2017-09-14,1429356,3,0,0.013640596251927066,0.0,0.0
2017-09-15,1486414,4,0,0.013408812521641736,-1.0,0.0
2017-09-16,1438699,4,0,0.01389051225506671,0.0,-0.2
2017-09-17,1273750,4,0,0.013679303934297758,0.0,-0.2
2017-09-18,1348209,4,0,0.013099219591171636,0.0,-0.2
2017-09-19,1402664,4,0,0.013290024950679638,0.0,-0.2
2017-09-20,1426274,4,0,0.013382277036649539,0.0,0.0
2017-09-21,1438505,4,0,0.013446080861018781,0.0,0.0
2017-09-22,1583477,4,0,0.014257358907406027,0.0,0.0
2017-09-23,1492385,3,0,0.014571511436329999,1.0,0.2
2017-09-24,1347601,3,0,0.014541748891980202,0.0,0.2
2017-09-25,1407389,4,0,0.013960626321801122,-1.0,0.0
2017-09-26,1631582,4,0,0.01574272969690598,0.0,0.0
2017-09-27,1653941,4,0,0.015681266788158156,0.0,0.0
2017-09-28,1622934,4,0,0.01528181375519358,0.0,-0.2
2017-09-29,1470606,4,0,0.013226026144687387,0.0,-0.2
2017-09-30,1410204,4,0,0.013821136729308915,0.0,0.0
2017-10-01,1248500,4,0,0.013695132142339118,0.0,0.0
2017-10-02,1294209,4,0,0.01305754059553271,0.0,0.0
2017-10-03,1346013,4,0,0.012641365327900467,0.0,0.0
2017-10-04,1307610,4,0,0.012654419193552884,0.0,0.0
2017-10-05,1335738,4,0,0.012986385838415165,0.0,0.0
2017-10-06,1415639,4,0,0.012616793364533814,0.0,0.0
2017-10-07,1353896,4,0,0.01333970982345676,0.0,0.0
2017-10-08,1183944,4,0,0.013094269184611705,0.0,0.0
2017-10-09,1243838,5,0,0.012744430358170463,-1.0,-0.2
2017-10-10,1261850,4,0,0.012693234081232413,1.0,0.0
2017-10-11,1268138,4,0,0.012682428710030032,0.0,0.0
2017-10-12,1322038,4,0,0.012978432556112167,0.0,0.0
2017-10-13,1405595,4,0,0.013059053946961656,0.0,0.0
2017-10-14,1364414,4,0,0.013719810241405448,0.0,0.2
2017-10-15,1213836,3,0,0.013471954576464709,1.0,0.2
2017-10-16,1262755,4,0,0.01284211529176794,-1.0,0.0
2017-10-17,1321335,4,0,0.013096286096506298,0.0,0.0
