,gucci,patek,versace,balenciaga,saint laurent
2017-01-01,62.125,26.625,71.41666666666667,44.291666666666664,66.0
2017-01-02,64.875,25.75,71.04166666666667,47.5,75.875
2017-01-03,62.916666666666664,28.208333333333332,70.08333333333333,48.25,74.91666666666667
2017-01-04,61.625,24.958333333333332,70.79166666666667,46.25,73.16666666666667
2017-01-05,65.0,27.291666666666668,70.83333333333333,46.791666666666664,73.0
2017-01-06,64.70833333333333,25.541666666666668,72.54166666666667,49.458333333333336,74.0
2017-01-07,67.70833333333333,26.166666666666668,80.79166666666667,55.75,74.33333333333333
2017-01-08,86.7090909090909,55.90909090909091,80.65454545454546,83.2909090909091,44.2
2017-01-09,66.5,58.291666666666664,65.79166666666667,48.75,29.791666666666668
2017-01-10,64.0,61.416666666666664,64.75,47.291666666666664,28.541666666666668
2017-01-11,66.25,64.45833333333333,66.5,50.791666666666664,30.458333333333332
2017-01-12,64.875,65.95833333333333,67.75,46.5,29.458333333333332
2017-01-13,64.70833333333333,66.16666666666667,70.5,44.958333333333336,37.458333333333336
2017-01-14,70.625,67.83333333333333,81.70833333333333,48.416666666666664,31.791666666666668
2017-01-15,87.89090909090909,74.81818181818181,77.38181818181818,69.16363636363636,63.56363636363636
2017-01-16,67.91666666666667,68.16666666666667,61.5,60.541666666666664,74.33333333333333
2017-01-17,66.16666666666667,69.79166666666667,61.208333333333336,55.5,72.16666666666667
2017-01-18,64.58333333333333,65.0,59.5,65.25,72.45833333333333
2017-01-19,65.83333333333333,62.0,61.375,67.83333333333333,70.75
2017-01-20,67.54166666666667,65.91666666666667,64.04166666666667,60.375,70.25
2017-01-21,73.54166666666667,72.25,73.875,63.041666666666664,71.66666666666667
2017-01-22,88.21818181818182,84.69090909090909,66.87272727272727,81.25454545454545,74.83636363636364
2017-01-23,68.70833333333333,72.20833333333333,53.916666666666664,65.5,74.375
2017-01-24,65.41666666666667,73.41666666666667,56.041666666666664,62.416666666666664,74.04166666666667
2017-01-25,65.91666666666667,71.75,57.375,63.0,71.66666666666667
2017-01-26,67.54166666666667,73.04166666666667,58.416666666666664,62.75,70.0
2017-01-27,67.66666666666667,78.75,60.708333333333336,64.375,71.29166666666667
2017-01-28,77.95833333333333,82.45833333333333,74.29166666666667,66.83333333333333,75.95833333333333
2017-01-29,87.87272727272727,81.69090909090909,62.127272727272725,76.98181818181818,63.32727272727273
2017-01-30,70.375,68.29166666666667,41.166666666666664,61.125,57.833333333333336
2017-01-31,70.375,71.45833333333333,42.375,62.083333333333336,60.083333333333336
2017-02-01,68.5,68.75,41.458333333333336,62.0,58.25
2017-02-02,69.08333333333333,71.25,42.416666666666664,64.70833333333333,62.041666666666664
2017-02-03,70.25,76.45833333333333,45.166666666666664,63.25,59.541666666666664
2017-02-04,80.375,81.33333333333333,53.625,70.375,65.5
2017-02-05,88.58181818181818,85.2,53.054545454545455,79.67272727272727,42.0
2017-02-06,68.5,65.95833333333333,45.125,64.08333333333333,32.208333333333336
2017-02-07,67.41666666666667,69.625,45.083333333333336,63.666666666666664,29.625
2017-02-08,68.58333333333333,72.45833333333333,43.166666666666664,60.916666666666664,27.875
2017-02-09,70.79166666666667,72.58333333333333,43.916666666666664,61.958333333333336,29.0
2017-02-10,71.54166666666667,74.70833333333333,43.333333333333336,64.70833333333333,29.166666666666668
2017-02-11,77.79166666666667,80.125,48.5,72.125,30.708333333333332
2017-02-12,90.65454545454546,77.61818181818182,68.67272727272727,71.94545454545455,60.945454545454545
2017-02-13,70.29166666666667,68.375,61.291666666666664,56.791666666666664,65.625
2017-02-14,66.83333333333333,70.0,59.875,54.0,65.45833333333333
2017-02-15,70.125,80.33333333333333,59.541666666666664,57.833333333333336,63.083333333333336
2017-02-16,68.625,79.91666666666667,61.041666666666664,56.166666666666664,61.458333333333336
2017-02-17,68.54166666666667,78.83333333333333,60.25,58.083333333333336,63.958333333333336
2017-02-18,74.54166666666667,83.25,68.58333333333333,60.75,70.375
2017-02-19,73.2,88.47272727272727,75.85454545454546,76.67272727272727,49.67272727272727
2017-02-20,55.541666666666664,73.29166666666667,59.416666666666664,66.29166666666667,36.875
2017-02-21,57.583333333333336,72.25,57.916666666666664,64.79166666666667,35.25
2017-02-22,60.375,70.25,57.541666666666664,63.375,34.625
2017-02-23,60.75,72.66666666666667,57.25,65.16666666666667,34.875
2017-02-24,65.91666666666667,76.41666666666667,62.166666666666664,66.70833333333333,35.333333333333336
2017-02-25,70.54166666666667,83.875,76.08333333333333,72.25,36.708333333333336
2017-02-26,86.2,88.0,77.69090909090909,76.98181818181818,57.10909090909091
2017-02-27,58.708333333333336,81.125,63.458333333333336,63.583333333333336,62.833333333333336
2017-02-28,56.5,78.25,60.208333333333336,64.45833333333333,66.5
2017-03-01,54.25,73.58333333333333,59.333333333333336,62.208333333333336,71.25
2017-03-02,54.25,74.41666666666667,61.458333333333336,62.291666666666664,65.75
2017-03-03,54.875,78.58333333333333,63.0,59.625,65.33333333333333
2017-03-04,58.708333333333336,84.0,72.0,64.20833333333333,67.33333333333333
2017-03-05,85.2,80.49090909090908,75.61818181818182,77.03636363636363,35.25454545454546
2017-03-06,71.29166666666667,77.08333333333333,63.0,62.083333333333336,29.458333333333332
2017-03-07,68.79166666666667,76.0,61.416666666666664,58.791666666666664,37.416666666666664
2017-03-08,66.33333333333333,73.33333333333333,62.416666666666664,53.708333333333336,37.75
2017-03-09,66.58333333333333,74.16666666666667,61.75,53.458333333333336,27.333333333333332
2017-03-10,68.45833333333333,80.95833333333333,62.916666666666664,57.541666666666664,28.958333333333332
2017-03-11,74.16666666666667,84.91666666666667,70.5,67.20833333333333,31.875
2017-03-12,87.76363636363637,80.87272727272727,67.01818181818182,67.89090909090909,60.945454545454545
2017-03-13,73.125,73.08333333333333,47.75,53.75,69.58333333333333
2017-03-14,70.41666666666667,72.16666666666667,47.041666666666664,47.666666666666664,65.83333333333333
2017-03-15,68.33333333333333,67.70833333333333,46.625,44.916666666666664,66.20833333333333
2017-03-16,68.5,70.66666666666667,50.166666666666664,43.375,62.291666666666664
2017-03-17,70.79166666666667,74.08333333333333,51.375,44.583333333333336,63.458333333333336
2017-03-18,78.20833333333333,83.83333333333333,57.041666666666664,50.208333333333336,67.25
2017-03-19,87.36363636363636,74.2909090909091,72.43636363636364,68.98181818181818,70.78181818181818
2017-03-20,73.08333333333333,60.25,68.625,69.04166666666667,75.16666666666667
2017-03-21,71.16666666666667,59.75,71.91666666666667,67.375,71.04166666666667
2017-03-22,69.125,78.79166666666667,64.95833333333333,67.45833333333333,69.83333333333333
2017-03-23,69.33333333333333,76.83333333333333,62.833333333333336,66.45833333333333,71.41666666666667
2017-03-24,71.125,75.375,64.91666666666667,67.79166666666667,72.70833333333333
2017-03-25,78.625,77.83333333333333,73.25,70.95833333333333,76.45833333333333
2017-03-26,88.0909090909091,83.30909090909091,71.16363636363636,82.7090909090909,73.38181818181818
2017-03-27,70.95833333333333,75.45833333333333,57.791666666666664,67.54166666666667,73.04166666666667
2017-03-28,67.70833333333333,73.91666666666667,62.166666666666664,66.45833333333333,71.29166666666667
2017-03-29,69.08333333333333,75.375,62.666666666666664,68.20833333333333,74.04166666666667
2017-03-30,68.58333333333333,71.29166666666667,58.625,67.83333333333333,72.58333333333333
2017-03-31,68.33333333333333,72.54166666666667,58.416666666666664,64.95833333333333,73.79166666666667
2017-04-01,73.83333333333333,79.70833333333333,63.833333333333336,71.75,76.33333333333333
2017-04-02,85.0,53.70909090909091,69.0909090909091,77.2,63.41818181818182
2017-04-03,71.875,45.291666666666664,59.916666666666664,65.66666666666667,60.708333333333336
2017-04-04,69.66666666666667,43.833333333333336,58.541666666666664,65.33333333333333,60.75
2017-04-05,70.625,39.083333333333336,60.791666666666664,64.58333333333333,59.208333333333336
2017-04-06,72.20833333333333,40.166666666666664,60.458333333333336,63.666666666666664,59.916666666666664
2017-04-07,70.83333333333333,44.916666666666664,60.791666666666664,61.75,63.0
2017-04-08,77.08333333333333,47.75,68.83333333333333,68.29166666666667,64.875
